Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,India,Snacks,Offline,L,11/12/2022,194558174,12/11/2022,11556,576.4,448.23,6660878.4,5179745.88,1481132.52
Sub-Saharan Africa,Germany,Beverages,Offline,M,07/23/2010,827361272,08/14/2010,6614,70.2,59.59,464302.8,394128.26,70174.54
Sub-Saharan Africa,Mexico,Snacks,Online,C,10/22/2017,829629072,11/18/2017,4406,23.82,16.82,104950.92,74108.92,30842
Australia and Oceania,Germany,Personal Care,Offline,L,05/28/2018,979534912,06/16/2018,7847,9.54,6.21,74860.38,48729.87,26130.51
Asia,UAE,Meat,Online,L,11/25/2014,662700053,12/04/2014,3891,10.88,8.01,42334.08,31166.91,11167.17
Australia and Oceania,Japan,Household,Online,M,05/29/2011,492736711,06/14/2011,7845,651.11,396.01,5107957.95,3106698.45,2001259.5
North America,Australia,Household,Offline,M,12/05/2018,184126251,01/02/2019,7514,459.27,406.61,3450954.78,3055267.54,395687.24
Asia,Brazil,Personal Care,Online,C,01/06/2021,368666078,01/11/2021,11314,606.71,475.12,6864316.94,5375507.68,1488809.26
Sub-Saharan Africa,Brazil,Office Supplies,Online,L,11/16/2010,298900870,12/16/2010,4587,217.27,161.94,996617.49,742818.78,253798.71
Europe,Kenya,Snacks,Offline,M,05/19/2012,861532015,06/08/2012,3351,154.72,121.35,518466.72,406643.85,111822.87
Europe,USA,Snacks,Offline,C,07/19/2020,231720456,08/10/2020,11636,317.83,248.05,3698269.88,2886309.8,811960.08
North America,India,Personal Care,Offline,H,03/16/2015,473207700,04/10/2015,9188,107.53,70.5,987985.64,647754,340231.64
Central America and the Caribbean,Mexico,Baby Food,Offline,M,03/18/2023,900518748,03/23/2023,11751,96.53,73.62,1134324.03,865108.62,269215.41
Central America and the Caribbean,Australia,Beverages,Offline,M,08/18/2017,366803964,09/15/2017,7599,248.87,202.65,1891163.13,1539937.35,351225.78
Central America and the Caribbean,UAE,Clothes,Online,L,09/18/2016,931150694,10/07/2016,1030,144.66,86.92,148999.8,89527.6,59472.2
Europe,India,Vegetables,Offline,H,02/28/2011,855984150,03/13/2011,3750,656.95,456.36,2463562.5,1711350,752212.5
Australia and Oceania,France,Vegetables,Online,C,04/10/2010,457672905,04/16/2010,2211,495.96,441.75,1096567.56,976709.25,119858.31
Central America and the Caribbean,Brazil,Vegetables,Online,M,03/09/2012,900308810,03/14/2012,4238,224.43,159.44,951134.34,675706.72,275427.62
North America,Germany,Baby Food,Online,L,03/05/2021,854030164,03/09/2021,10930,552.59,446.81,6039808.7,4883633.3,1156175.4
Sub-Saharan Africa,Kenya,Office Supplies,Offline,H,11/22/2021,345218358,12/07/2021,350,321.97,225.98,112689.5,79093,33596.5
Middle East and North Africa,India,Beverages,Online,L,08/01/2021,308414783,08/05/2021,2228,171.1,130.33,381210.8,290375.24,90835.56
Sub-Saharan Africa,Brazil,Clothes,Online,H,04/29/2016,200625875,05/01/2016,2439,65.35,53.98,159388.65,131657.22,27731.43
Australia and Oceania,France,Snacks,Online,H,08/09/2016,402728448,08/25/2016,3615,563.56,505.36,2037269.4,1826876.4,210393
Central America and the Caribbean,Kenya,Office Supplies,Offline,M,01/01/2017,495790395,01/25/2017,8011,67.99,54.44,544667.89,436118.84,108549.05
Europe,India,Household,Offline,L,04/13/2013,640193133,04/30/2013,10504,549.28,441.38,5769637.12,4636255.52,1133381.6
Middle East and North Africa,Kenya,Snacks,Online,M,02/18/2013,573071671,03/14/2013,10314,180.14,127.35,1857963.96,1313487.9,544476.06
Australia and Oceania,France,Office Supplies,Offline,C,10/01/2017,200325691,10/03/2017,5002,532.89,368.92,2665515.78,1845337.84,820177.94
Australia and Oceania,France,Cosmetics,Offline,H,01/30/2018,227926634,02/11/2018,7586,652.33,539.28,4948575.38,4090978.08,857597.3
Australia and Oceania,UAE,Snacks,Offline,H,12/04/2019,529818521,12/20/2019,5359,316.9,236.06,1698267.1,1265045.54,433221.56
Australia and Oceania,USA,Clothes,Online,L,05/10/2017,801693519,05/27/2017,6383,464.4,402.13,2964265.2,2566795.79,397469.41
Europe,Mexico,Snacks,Online,L,08/09/2023,647788907,08/12/2023,8944,17.24,14.46,154194.56,129330.24,24864.32
Asia,USA,Meat,Offline,L,05/06/2010,280317592,06/05/2010,11332,191.28,119.41,2167584.96,1353154.12,814430.84
Australia and Oceania,Mexico,Vegetables,Online,H,06/02/2016,554229331,06/13/2016,2434,15.24,13.59,37094.16,33078.06,4016.1
Australia and Oceania,UAE,Snacks,Online,M,01/13/2012,483876131,02/03/2012,11118,466.82,370.33,5190104.76,4117328.94,1072775.82
North America,Kenya,Vegetables,Offline,C,02/09/2018,919461724,02/20/2018,869,363.11,309.73,315542.59,269155.37,46387.22
Central America and the Caribbean,Brazil,Baby Food,Offline,H,11/18/2018,364734072,12/08/2018,5420,504.48,387.13,2734281.6,2098244.6,636037
Australia and Oceania,Germany,Vegetables,Online,C,07/05/2016,748304329,07/09/2016,8311,437.64,327.92,3637226.04,2725343.12,911882.92
Asia,Brazil,Office Supplies,Online,L,06/14/2021,577909732,07/12/2021,11839,252.79,221.86,2992780.81,2626600.54,366180.27
Australia and Oceania,Germany,Household,Offline,M,06/29/2020,811627638,07/01/2020,10764,40.2,34.95,432712.8,376201.8,56511
Central America and the Caribbean,UAE,Vegetables,Offline,C,09/19/2022,637976382,10/01/2022,892,22.15,17.63,19757.8,15725.96,4031.84
Europe,UAE,Beverages,Offline,M,10/29/2022,325504553,11/05/2022,922,296.31,178.99,273197.82,165028.78,108169.04
Europe,Germany,Cosmetics,Online,H,12/23/2012,235418553,01/21/2013,145,466.86,397.92,67694.7,57698.4,9996.3
Sub-Saharan Africa,India,Beverages,Offline,C,12/24/2021,941952752,12/26/2021,1012,397.92,316.51,402695.04,320308.12,82386.92
Central America and the Caribbean,Australia,Vegetables,Offline,M,09/14/2022,243121667,10/01/2022,4682,309.78,264.28,1450389.96,1237358.96,213031
Central America and the Caribbean,Germany,Clothes,Offline,M,07/14/2013,749287723,07/23/2013,8574,615.3,370.16,5275582.2,3173751.84,2101830.36
Australia and Oceania,Kenya,Snacks,Offline,L,02/11/2011,374724946,03/08/2011,3300,30.86,27.63,101838,91179,10659
Middle East and North Africa,Mexico,Baby Food,Online,H,07/01/2021,539775430,07/21/2021,9224,404.21,290.69,3728433.04,2681324.56,1047108.48
Europe,UAE,Vegetables,Online,L,01/17/2021,297046431,02/10/2021,3269,529.6,413.91,1731262.4,1353071.79,378190.61
Middle East and North Africa,Germany,Baby Food,Online,H,01/10/2022,747892193,01/17/2022,11939,36.56,25.29,436489.84,301937.31,134552.53
Middle East and North Africa,India,Household,Online,M,09/30/2021,986467531,10/20/2021,7592,109.33,75.16,830033.36,570614.72,259418.64
Asia,India,Snacks,Online,C,01/27/2016,870367347,02/26/2016,2178,438.51,277.39,955074.78,604155.42,350919.36
Asia,Germany,Fruits,Offline,C,05/29/2021,608971886,06/22/2021,937,454.39,296.87,425763.43,278167.19,147596.24
Europe,India,Household,Online,H,11/14/2018,658466298,11/29/2018,5034,600.52,378.74,3023017.68,1906577.16,1116440.52
Europe,Kenya,Cosmetics,Offline,L,12/21/2021,578444503,12/23/2021,4836,6.63,4.56,32062.68,22052.16,10010.52
Middle East and North Africa,USA,Office Supplies,Online,M,01/28/2021,502079478,02/12/2021,7199,207.65,179.39,1494872.35,1291428.61,203443.74
North America,Japan,Household,Online,M,03/25/2015,424300194,04/06/2015,9236,241.64,175.72,2231787.04,1622949.92,608837.12
Central America and the Caribbean,UAE,Office Supplies,Online,L,05/28/2023,398390050,06/25/2023,2925,267.4,176.01,782145,514829.25,267315.75
Middle East and North Africa,Kenya,Fruits,Offline,L,11/20/2021,891322767,11/27/2021,7033,690.37,518.75,4855372.21,3648368.75,1207003.46
North America,Kenya,Vegetables,Online,M,04/20/2012,268667138,05/12/2012,6599,698.72,480.36,4610853.28,3169895.64,1440957.64
Asia,Japan,Baby Food,Offline,L,04/23/2010,702336359,05/01/2010,4127,626.85,423.88,2587009.95,1749352.76,837657.19
Central America and the Caribbean,Japan,Vegetables,Offline,M,07/01/2015,129900065,07/28/2015,1361,179.25,156.84,243959.25,213459.24,30500.01
Middle East and North Africa,Kenya,Fruits,Online,C,04/15/2011,160779143,05/10/2011,10838,599.37,404.07,6495972.06,4379310.66,2116661.4
Middle East and North Africa,Kenya,Snacks,Online,H,08/22/2014,607267029,09/12/2014,10028,108.08,95.09,1083826.24,953562.52,130263.72
Sub-Saharan Africa,Germany,Household,Offline,L,10/08/2019,329995485,10/12/2019,6405,105.39,87.52,675022.95,560565.6,114457.35
Middle East and North Africa,Australia,Baby Food,Online,H,07/02/2015,312572621,07/20/2015,11861,514.08,440.9,6097502.88,5229514.9,867987.98
Central America and the Caribbean,UAE,Office Supplies,Offline,L,07/02/2010,214739892,07/03/2010,4379,673.33,551.33,2948512.07,2414274.07,534238
Europe,Germany,Baby Food,Offline,L,02/14/2022,280919122,03/03/2022,783,302.24,262.21,236653.92,205310.43,31343.49
Sub-Saharan Africa,Kenya,Beverages,Online,H,09/25/2011,392491787,10/17/2011,4121,442.27,349.81,1822594.67,1441567.01,381027.66
Asia,France,Household,Online,C,06/12/2020,959685407,06/25/2020,2742,585.57,391.89,1605632.94,1074562.38,531070.56
Asia,USA,Cosmetics,Offline,L,07/28/2022,795747632,08/12/2022,4811,201.58,176.25,969801.38,847938.75,121862.63
Middle East and North Africa,France,Beverages,Offline,M,08/25/2013,899260254,09/04/2013,5187,683.9,462.31,3547389.3,2398001.97,1149387.33
Europe,Kenya,Household,Offline,M,08/27/2019,544236626,09/06/2019,558,276.69,190.53,154393.02,106315.74,48077.28
Europe,France,Clothes,Offline,C,06/25/2017,197336117,07/13/2017,11867,290.66,184.01,3449262.22,2183646.67,1265615.55
Middle East and North Africa,Mexico,Clothes,Online,H,03/24/2012,237745382,03/29/2012,6852,350.23,301.21,2399775.96,2063890.92,335885.04
Australia and Oceania,Japan,Cosmetics,Offline,M,03/28/2016,852684508,04/27/2016,965,552.49,342.97,533152.85,330966.05,202186.8
Sub-Saharan Africa,Germany,Fruits,Online,L,07/23/2021,124414174,08/15/2021,1173,262.58,170.84,308006.34,200395.32,107611.02
Asia,Japan,Office Supplies,Online,H,09/08/2013,318688057,09/20/2013,7619,268.61,229.19,2046539.59,1746198.61,300340.98
Europe,Japan,Cosmetics,Online,L,02/07/2012,979039300,03/07/2012,6954,135.15,110.43,939833.1,767930.22,171902.88
Sub-Saharan Africa,Japan,Meat,Offline,M,07/06/2015,559443540,07/17/2015,1494,693.5,585.6,1036089,874886.4,161202.6
Asia,Kenya,Vegetables,Offline,C,07/13/2022,968168448,07/25/2022,8927,661.1,492.49,5901639.7,4396458.23,1505181.47
Asia,Australia,Snacks,Online,C,07/10/2020,367242419,07/23/2020,11475,413.89,339.45,4749387.75,3895188.75,854199
North America,Kenya,Snacks,Online,C,03/15/2021,112633803,03/31/2021,11991,699.31,575,8385426.21,6894825,1490601.21
Central America and the Caribbean,France,Cosmetics,Online,L,04/27/2022,460642254,05/09/2022,4150,350.68,303.99,1455322,1261558.5,193763.5
North America,Australia,Baby Food,Offline,H,12/14/2018,539265534,01/05/2019,1443,80.26,57.49,115815.18,82958.07,32857.11
Central America and the Caribbean,France,Cereal,Online,M,06/11/2019,670480829,07/08/2019,3902,354.43,298.9,1382985.86,1166307.8,216678.06
Asia,UAE,Cereal,Offline,M,01/15/2015,607633880,02/11/2015,7109,214.58,143.02,1525449.22,1016729.18,508720.04
Middle East and North Africa,France,Meat,Offline,H,11/24/2019,898365640,12/04/2019,11982,548.99,420.87,6577998.18,5042864.34,1535133.84
Asia,Germany,Vegetables,Offline,C,01/06/2017,418611482,01/14/2017,3682,440.36,380.91,1621405.52,1402510.62,218894.9
Central America and the Caribbean,UAE,Baby Food,Online,L,09/04/2019,975411150,10/02/2019,7407,95.73,75.56,709072.11,559672.92,149399.19
Sub-Saharan Africa,Brazil,Snacks,Online,M,11/10/2013,480604053,11/17/2013,8805,63.89,49.42,562551.45,435143.1,127408.35
Middle East and North Africa,Kenya,Cereal,Offline,M,10/31/2017,220426217,11/14/2017,598,567.17,403.57,339167.66,241334.86,97832.8
Australia and Oceania,Japan,Snacks,Online,M,02/28/2015,977842899,03/01/2015,2501,575.84,448.7,1440175.84,1122198.7,317977.14
Europe,Germany,Household,Online,H,01/09/2017,584307932,01/15/2017,275,659.06,569.55,181241.5,156626.25,24615.25
Middle East and North Africa,Japan,Baby Food,Offline,M,08/31/2018,748513802,09/14/2018,6434,52.92,41.54,340487.28,267268.36,73218.92
Central America and the Caribbean,Germany,Beverages,Offline,H,08/08/2018,424314694,08/15/2018,1422,519.94,440.04,739354.68,625736.88,113617.8
Central America and the Caribbean,Australia,Beverages,Offline,C,11/14/2011,816048288,12/11/2011,693,330.12,277.29,228773.16,192161.97,36611.19
Europe,India,Snacks,Online,L,10/09/2019,744637366,10/26/2019,9439,210.94,175.11,1991062.66,1652863.29,338199.37
Australia and Oceania,Mexico,Household,Online,C,10/05/2013,149235607,10/13/2013,9316,157.82,129.38,1470251.12,1205304.08,264947.04
Central America and the Caribbean,Germany,Clothes,Offline,M,06/16/2018,968874137,06/21/2018,8222,378,290.99,3107916,2392519.78,715396.22
North America,Australia,Clothes,Offline,M,06/16/2013,936353896,07/14/2013,6532,423.12,304.31,2763819.84,1987752.92,776066.92
North America,UAE,Vegetables,Online,H,04/17/2015,336085847,05/04/2015,2280,396.3,271.97,903564,620091.6,283472.4
Europe,India,Snacks,Offline,C,02/04/2012,235537169,02/23/2012,5841,676.43,520.25,3951027.63,3038780.25,912247.38
North America,Japan,Office Supplies,Offline,M,04/14/2018,997159226,04/22/2018,1494,102.47,73.38,153090.18,109629.72,43460.46
Asia,UAE,Household,Offline,C,11/21/2016,276646600,12/12/2016,6405,532.04,338.74,3407716.2,2169629.7,1238086.5
Asia,India,Beverages,Offline,M,11/04/2020,482176127,11/07/2020,6763,513.39,322.83,3472056.57,2183299.29,1288757.28
Asia,Japan,Beverages,Offline,H,01/31/2012,843583305,02/23/2012,5962,169.92,106.28,1013063.04,633641.36,379421.68
Asia,Mexico,Cereal,Online,H,06/11/2011,530173584,06/27/2011,5891,557.34,377.55,3283289.94,2224147.05,1059142.89
Sub-Saharan Africa,UAE,Vegetables,Online,M,09/23/2011,985824717,10/21/2011,9147,147.85,127.97,1352383.95,1170541.59,181842.36
Australia and Oceania,Australia,Snacks,Offline,H,01/23/2016,540625391,02/17/2016,8879,411.07,320.27,3649890.53,2843677.33,806213.2
Sub-Saharan Africa,Brazil,Beverages,Offline,C,06/26/2020,596440235,07/26/2020,3990,302.45,207.7,1206775.5,828723,378052.5
Europe,Japan,Household,Online,C,12/04/2015,136817141,12/24/2015,1502,495.26,300.08,743880.52,450720.16,293160.36
Asia,UAE,Household,Offline,H,02/22/2013,357536195,03/24/2013,11263,158.98,110.35,1790591.74,1242872.05,547719.69
North America,USA,Office Supplies,Online,M,08/15/2012,196048685,09/11/2012,692,645.91,429.19,446969.72,296999.48,149970.24
Middle East and North Africa,Japan,Beverages,Online,C,12/27/2014,369208811,01/16/2015,1636,178.04,153.67,291273.44,251404.12,39869.32
Middle East and North Africa,Germany,Fruits,Offline,H,07/24/2023,527818329,08/13/2023,5597,372.07,261.01,2082475.79,1460872.97,621602.82
Europe,Mexico,Personal Care,Online,L,03/14/2023,424725834,03/22/2023,11742,421.41,317.34,4948196.22,3726206.28,1221989.94
Australia and Oceania,Brazil,Cosmetics,Offline,M,10/27/2010,492172526,11/06/2010,7786,151.89,126.93,1182615.54,988276.98,194338.56
Middle East and North Africa,Mexico,Beverages,Offline,H,10/24/2018,253240341,11/06/2018,654,641.25,421.53,419377.5,275680.62,143696.88
Europe,UAE,Snacks,Online,M,06/24/2012,711851905,06/30/2012,6557,47.56,34.24,311850.92,224511.68,87339.24
Middle East and North Africa,Kenya,Clothes,Offline,H,05/07/2019,845162766,06/06/2019,5135,212.56,186.88,1091495.6,959628.8,131866.8
Europe,Germany,Meat,Online,H,02/08/2015,200359315,03/03/2015,8529,544.11,336.13,4640714.19,2866852.77,1773861.42
Asia,UAE,Meat,Offline,M,06/03/2020,681623009,06/12/2020,920,631.13,476.02,580639.6,437938.4,142701.2
Central America and the Caribbean,USA,Vegetables,Online,M,06/23/2014,238810827,07/03/2014,3852,350.19,221.79,1348931.88,854335.08,494596.8
Central America and the Caribbean,Brazil,Household,Offline,H,03/30/2019,894760803,04/21/2019,7112,545.8,409.76,3881729.6,2914213.12,967516.48
North America,Germany,Baby Food,Offline,L,08/12/2018,305186624,08/26/2018,1764,430.48,262.24,759366.72,462591.36,296775.36
Australia and Oceania,UAE,Meat,Online,C,03/20/2018,790767831,03/24/2018,2662,686.29,459.73,1826903.98,1223801.26,603102.72
Asia,Brazil,Baby Food,Online,L,06/25/2019,943825283,07/18/2019,11977,33.35,21.08,399432.95,252475.16,146957.79
North America,India,Cosmetics,Offline,H,09/22/2022,181931142,10/01/2022,5964,100.96,87.09,602125.44,519404.76,82720.68
Australia and Oceania,Mexico,Beverages,Offline,H,11/15/2015,297979694,11/28/2015,11139,130.54,80.67,1454085.06,898583.13,555501.93
Asia,India,Snacks,Online,M,11/21/2016,462834542,12/07/2016,4644,515.99,443.15,2396257.56,2057988.6,338268.96
Asia,Brazil,Household,Offline,H,05/28/2018,116848156,06/24/2018,4863,227.73,168.51,1107450.99,819464.13,287986.86
Sub-Saharan Africa,UAE,Fruits,Offline,L,11/27/2021,448692547,12/15/2021,5054,623.04,516.47,3148844.16,2610239.38,538604.78
Sub-Saharan Africa,UAE,Baby Food,Online,L,12/04/2013,134068797,12/07/2013,11646,93.27,59.43,1086222.42,692121.78,394100.64
Central America and the Caribbean,UAE,Vegetables,Online,C,10/04/2020,365357922,10/22/2020,683,268.02,203.83,183057.66,139215.89,43841.77
Asia,Australia,Personal Care,Online,C,09/22/2013,749705146,09/30/2013,10982,545.61,476.49,5991889.02,5232813.18,759075.84
Asia,Mexico,Cosmetics,Online,H,03/18/2010,368184340,04/11/2010,5644,698.42,422.68,3941882.48,2385605.92,1556276.56
Central America and the Caribbean,India,Snacks,Online,H,11/23/2017,222859364,11/27/2017,7031,516.13,451.13,3628910.03,3171895.03,457015
Australia and Oceania,India,Cosmetics,Offline,M,06/24/2023,404504591,07/18/2023,127,444.49,377.3,56450.23,47917.1,8533.13
Sub-Saharan Africa,Germany,Snacks,Offline,H,06/22/2022,924181139,06/30/2022,4165,534.05,414.94,2224318.25,1728225.1,496093.15
Europe,Germany,Clothes,Online,H,03/31/2017,924274085,04/25/2017,3373,617.4,383.98,2082490.2,1295164.54,787325.66
Europe,Australia,Clothes,Online,C,02/16/2022,290105971,03/15/2022,10997,106.82,89.51,1174699.54,984341.47,190358.07
Europe,Mexico,Cosmetics,Offline,C,08/14/2019,840405561,08/17/2019,11545,513.72,370.11,5930897.4,4272919.95,1657977.45
Central America and the Caribbean,UAE,Baby Food,Offline,H,12/19/2019,500921236,01/07/2020,6264,10.44,8.09,65396.16,50675.76,14720.4
Sub-Saharan Africa,Germany,Clothes,Online,H,02/02/2014,999261255,02/15/2014,10348,191.14,120.48,1977916.72,1246727.04,731189.68
Europe,Germany,Beverages,Online,C,11/13/2020,142858979,12/09/2020,3803,384.08,233.91,1460656.24,889559.73,571096.51
Europe,Brazil,Office Supplies,Offline,M,03/04/2011,154098837,03/21/2011,2901,626.34,468.19,1817012.34,1358219.19,458793.15
Middle East and North Africa,Japan,Clothes,Online,H,09/20/2013,872673828,09/28/2013,2077,570.98,498.61,1185925.46,1035612.97,150312.49
Sub-Saharan Africa,Germany,Vegetables,Offline,M,01/03/2019,866345119,02/02/2019,11098,401.71,320.53,4458177.58,3557241.94,900935.64
Australia and Oceania,India,Snacks,Offline,H,10/22/2022,462085073,10/26/2022,3215,542,382.94,1742530,1231152.1,511377.9
Middle East and North Africa,Germany,Personal Care,Online,M,02/01/2019,129708860,02/22/2019,11133,205.91,161.32,2292396.03,1795975.56,496420.47
Middle East and North Africa,France,Beverages,Online,M,05/07/2010,974713979,05/30/2010,8245,365.53,245.52,3013794.85,2024312.4,989482.45
Asia,Germany,Beverages,Offline,H,07/27/2022,243851997,07/28/2022,4058,577.02,392.31,2341547.16,1591993.98,749553.18
North America,Germany,Household,Online,H,08/03/2011,240906420,08/12/2011,1313,507.24,408.11,666006.12,535848.43,130157.69
Middle East and North Africa,UAE,Fruits,Online,H,06/19/2022,714690092,07/03/2022,6271,486.21,307.72,3049022.91,1929712.12,1119310.79
Sub-Saharan Africa,France,Office Supplies,Online,C,03/13/2017,828607133,03/30/2017,813,203.69,122.27,165599.97,99405.51,66194.46
Sub-Saharan Africa,USA,Meat,Online,H,08/30/2013,952096118,09/24/2013,4767,224.09,148.67,1068237.03,708709.89,359527.14
Australia and Oceania,Germany,Cosmetics,Online,C,01/06/2020,859244041,02/05/2020,11589,548.46,351.71,6356102.94,4075967.19,2280135.75
Australia and Oceania,Japan,Household,Online,M,07/13/2014,197967837,07/18/2014,1382,20.27,13.77,28013.14,19030.14,8983
Asia,Japan,Household,Online,L,12/14/2010,294343275,12/24/2010,5719,541.03,379.15,3094150.57,2168358.85,925791.72
Australia and Oceania,UAE,Meat,Online,C,04/09/2022,180736931,05/05/2022,1134,566.21,505.76,642082.14,573531.84,68550.3
Sub-Saharan Africa,UAE,Fruits,Online,C,01/22/2014,137877037,01/25/2014,3465,182.31,136.46,631704.15,472833.9,158870.25
Australia and Oceania,France,Household,Online,M,12/16/2021,885755803,01/15/2022,2916,159.62,134.43,465451.92,391997.88,73454.04
Europe,Brazil,Beverages,Online,C,06/04/2015,144143163,06/16/2015,3069,615.49,411.25,1888938.81,1262126.25,626812.56
Sub-Saharan Africa,USA,Office Supplies,Online,H,09/07/2016,778956740,09/22/2016,11120,257.91,229.86,2867959.2,2556043.2,311916
Australia and Oceania,UAE,Vegetables,Online,L,01/20/2017,162915744,02/16/2017,6152,573.53,379.35,3528356.56,2333761.2,1194595.36
North America,Mexico,Vegetables,Online,C,05/11/2014,757106611,05/27/2014,8109,290.48,227.34,2355502.32,1843500.06,512002.26
Australia and Oceania,USA,Beverages,Offline,L,11/10/2010,751177621,11/26/2010,311,653.67,448.65,203291.37,139530.15,63761.22
North America,France,Office Supplies,Online,H,03/05/2012,562602163,03/12/2012,10214,372.53,228.09,3805021.42,2329711.26,1475310.16
North America,Australia,Office Supplies,Offline,C,02/13/2010,969903023,03/05/2010,10932,508.28,439.35,5556516.96,4802974.2,753542.76
Central America and the Caribbean,Brazil,Office Supplies,Online,M,02/23/2023,762893006,03/04/2023,1116,237.69,164.04,265262.04,183068.64,82193.4
Middle East and North Africa,Brazil,Personal Care,Online,L,07/15/2015,776967456,08/09/2015,5135,570.58,413.21,2929928.3,2121833.35,808094.95
Asia,France,Personal Care,Offline,L,12/31/2019,675396315,01/29/2020,9591,432.74,287.05,4150409.34,2753096.55,1397312.79
North America,Japan,Vegetables,Online,C,11/17/2010,691178524,12/15/2010,1775,608.27,465.57,1079679.25,826386.75,253292.5
Sub-Saharan Africa,Mexico,Personal Care,Offline,M,06/08/2019,776279007,06/09/2019,11776,370.83,274.9,4366894.08,3237222.4,1129671.68
Europe,India,Personal Care,Offline,H,07/14/2019,261163569,08/10/2019,5054,428.53,279.6,2165790.62,1413098.4,752692.22
Asia,Brazil,Household,Offline,H,09/24/2012,676476302,10/13/2012,3387,584.68,455.65,1980311.16,1543286.55,437024.61
Australia and Oceania,Germany,Meat,Offline,H,05/07/2017,764658233,05/18/2017,8478,392.51,311.99,3327699.78,2645051.22,682648.56
Middle East and North Africa,Brazil,Household,Online,C,11/08/2019,710208980,11/28/2019,6341,5.04,3.52,31958.64,22320.32,9638.32
Middle East and North Africa,Brazil,Cosmetics,Online,C,02/09/2018,779398599,02/16/2018,7678,219.11,161.67,1682326.58,1241302.26,441024.32
Asia,UAE,Meat,Online,H,02/12/2023,355008744,03/12/2023,6069,679.15,437.48,4121761.35,2655066.12,1466695.23
Sub-Saharan Africa,India,Cosmetics,Offline,H,01/11/2019,787349786,02/01/2019,3031,248.27,200.7,752506.37,608321.7,144184.67
Middle East and North Africa,Germany,Cereal,Offline,M,03/04/2018,939839421,04/01/2018,2484,474.03,341.29,1177490.52,847764.36,329726.16
Sub-Saharan Africa,Germany,Household,Offline,C,06/02/2020,934267463,06/24/2020,6319,484.22,415,3059786.18,2622385,437401.18
Central America and the Caribbean,UAE,Snacks,Offline,M,06/18/2018,857152653,07/16/2018,8515,113.46,101.9,966111.9,867678.5,98433.4
North America,Australia,Office Supplies,Offline,H,07/29/2011,656038589,07/31/2011,8476,408.19,343.96,3459818.44,2915404.96,544413.48
Australia and Oceania,Mexico,Household,Offline,L,08/24/2020,150679382,09/14/2020,11077,210.81,139.36,2335142.37,1543690.72,791451.65
Middle East and North Africa,Brazil,Cosmetics,Offline,H,08/19/2014,879548005,09/12/2014,2796,151.02,108.58,422251.92,303589.68,118662.24
Sub-Saharan Africa,Australia,Baby Food,Offline,C,07/17/2022,641611938,08/16/2022,10272,469.42,399.34,4821882.24,4102020.48,719861.76
Australia and Oceania,Brazil,Vegetables,Offline,M,04/19/2011,370137005,05/09/2011,4594,141.74,112.65,651153.56,517514.1,133639.46
Europe,USA,Personal Care,Offline,L,09/19/2014,604579757,10/14/2014,1504,133.35,105.2,200558.4,158220.8,42337.6
Asia,France,Clothes,Online,H,03/01/2015,842411397,03/13/2015,8664,166.1,111.59,1439090.4,966815.76,472274.64
Europe,France,Clothes,Online,H,07/05/2017,984689511,07/30/2017,1214,695.34,518.21,844142.76,629106.94,215035.82
North America,Australia,Meat,Online,L,08/28/2013,230290440,09/14/2013,7724,68.99,52.79,532878.76,407749.96,125128.8
Australia and Oceania,Japan,Clothes,Online,L,05/28/2019,369530689,06/16/2019,6570,92.76,59.85,609433.2,393214.5,216218.7
Australia and Oceania,Mexico,Fruits,Online,L,11/05/2016,197085053,11/06/2016,10454,505.58,381.94,5285333.32,3992800.76,1292532.56
Central America and the Caribbean,UAE,Cereal,Offline,M,05/23/2014,550740059,06/09/2014,9065,259.97,178.94,2356628.05,1622091.1,734536.95
Australia and Oceania,India,Personal Care,Online,C,01/31/2016,408850954,02/02/2016,10840,475.82,409.34,5157888.8,4437245.6,720643.2
Middle East and North Africa,Germany,Office Supplies,Offline,M,02/11/2023,156269741,02/18/2023,7495,376.21,285.83,2819693.95,2142295.85,677398.1
Europe,Australia,Cosmetics,Offline,C,09/10/2015,971555873,09/23/2015,5022,19.71,14.17,98983.62,71161.74,27821.88
Asia,India,Beverages,Offline,H,01/03/2016,432369192,01/28/2016,10947,325.12,199.82,3559088.64,2187429.54,1371659.1
Sub-Saharan Africa,Germany,Vegetables,Offline,M,10/06/2022,823665898,10/22/2022,4730,449.5,272.89,2126135,1290769.7,835365.3
Asia,Germany,Meat,Online,M,07/18/2010,245096633,07/25/2010,1898,392.07,300.46,744148.86,570273.08,173875.78
North America,UAE,Snacks,Online,M,12/06/2018,861078785,12/14/2018,2769,292.13,187.57,808907.97,519381.33,289526.64
Europe,India,Cosmetics,Offline,H,08/18/2021,248800906,09/13/2021,1548,124.44,84.35,192633.12,130573.8,62059.32
Australia and Oceania,Australia,Personal Care,Online,H,12/20/2015,755666852,01/12/2016,6339,243.02,174.57,1540503.78,1106599.23,433904.55
Asia,Kenya,Baby Food,Offline,M,06/17/2018,796148620,06/24/2018,5356,45.31,38.42,242680.36,205777.52,36902.84
Sub-Saharan Africa,Kenya,Fruits,Online,M,12/03/2018,967921998,12/20/2018,6912,351.63,256.17,2430466.56,1770647.04,659819.52
